Date,Last Price
2025-11-17,2895.88
2025-10-31,3026.993
2025-09-30,3013.114
2025-08-29,2893.51
2025-07-31,2878.819
2025-06-30,2799.56
2025-05-30,2620.168
2025-04-30,2354.791
2025-03-31,2302.885
2025-02-28,2483.412
2025-01-31,2491.264
2024-12-31,2365.126
2024-11-29,2408.15
2024-10-31,2261.492
2024-09-30,2259.001
2024-08-30,2222.677
2024-07-31,2142.578
2024-06-28,2178.489
2024-05-31,2025.148
2024-04-30,1891.807
2024-03-29,1996.032
2024-02-29,1917.853
2024-01-31,1726.586
2023-12-29,1632.201
2023-11-30,1533.677
2023-10-31,1399.034
2023-09-29,1427.969
2023-08-31,1448.901
2023-07-31,1420.309
2023-06-30,1396.278
2023-05-31,1319.418
2023-04-28,1399.551
2023-03-31,1360.81
2023-02-28,1339.67
2023-01-31,1406.15
2022-12-30,1414.39
2022-11-30,1465.87
2022-10-31,1424.47
2022-09-30,1253.63
2022-08-31,1350.09
2022-07-29,1395.32
2022-06-30,1296.61
2022-05-31,1414.61
2022-04-29,1397.82
2022-03-31,1522.41
2022-02-28,1476.73
2022-01-31,1507.46
2021-12-31,1611.62
2021-11-30,1570.16
2021-10-29,1615.4
2021-09-30,1505.73
2021-08-31,1582.18
2021-07-30,1514.55
2021-06-30,1479.53
2021-05-31,1381.011
2021-04-30,1395.44
2021-03-31,1322.57
2021-02-26,1297.81
2021-01-29,1320.22
2020-12-31,1322.7
2020-11-30,1280.9
2020-10-30,1197.35
2020-09-30,1244.73
2020-08-31,1268.08
2020-07-31,1173.43
2020-06-30,1088.49
2020-05-29,1061.41
2020-04-30,995.024
2020-03-31,897.7
2020-02-28,986.949
2020-01-31,1074.588
2019-12-31,1045.325
2019-11-29,1025.013
2019-10-31,1007.416
2019-09-30,1009.776
2019-08-30,1007.525
2019-07-31,1014.204
2019-06-28,1006.887
2019-05-31,960.074
2019-04-30,987.14
2019-03-29,977.925
2019-02-28,951.847
2019-01-31,917.146
2018-12-31,841.624
2018-11-30,922.332
2018-10-31,908.544
2018-09-28,1009.315
2018-08-31,995.491
2018-07-31,955.495
