Date,Last Price
2025-11-17,32762.5
2025-10-31,32177.57
2025-09-30,33420.17
2025-08-29,33349.9
2025-07-31,32840.7
2025-06-30,32936.68
2025-05-30,33186.98
2025-04-30,32821.4
2025-03-31,33598.07
2025-02-28,33470.53
2025-01-31,31977.14
2024-12-31,31323.49
2024-11-29,33422.32
2024-10-31,31670.65
2024-09-30,31951.68
2024-08-30,31616.6
2024-07-31,30050.19
2024-06-28,28783.12
2024-05-31,28829.83
2024-04-30,28132.71
2024-03-29,29015.97
2024-02-29,28145.9
2024-01-31,27687.23
2023-12-29,27415.21
2023-11-30,26786.42
2023-10-31,25429.17
2023-09-29,25534.29
2023-08-31,26538.46
2023-07-31,27354.03
2023-06-30,27096.71
2023-05-31,26018.91
2023-04-28,27457.44
2023-03-31,26746.3
2023-02-28,26335.69
2023-01-31,27229.87
2022-12-30,27220.41
2022-11-30,27697.71
2022-10-31,26172.28
2022-09-30,24463.84
2022-08-31,26690.01
2022-07-29,27183.09
2022-06-30,26079.37
2022-05-31,27243.17
2022-04-29,27392.11
2022-03-31,28038.05
2022-02-28,26605.96
2022-01-31,27233.62
2021-12-31,28528.48
2021-11-30,26012.45
2021-10-29,26364.93
2021-09-30,25176.02
2021-08-31,26466.78
2021-07-30,26012.93
2021-06-30,25080.65
2021-05-31,25073.49
2021-04-30,24786.28
2021-03-31,23789.61
2021-02-26,22272.96
2021-01-29,22521.31
2020-12-31,22929.37
2020-11-30,22451.85
2020-10-30,21148.23
2020-09-30,21773.95
2020-08-31,22160.74
2020-07-31,21540.2
2020-06-30,20048.57
2020-05-29,20125.87
2020-04-30,20047.29
2020-03-31,18788.12
2020-02-28,21621.5
2020-01-31,23898.68
2019-12-31,23186.86
2019-11-29,22785.84
2019-10-31,22775.48
2019-09-30,22861.94
2019-08-30,22368.85
2019-07-31,21837.16
2019-06-28,21608.55
2019-05-31,20826.14
2019-04-30,21022.32
2019-03-29,20539.7
2019-02-28,20072.41
2019-01-31,19278.06
2018-12-31,18078.19
2018-11-30,19423.61
2018-10-31,18525.22
2018-09-28,19073.17
2018-08-31,19141.03
2018-07-31,18798.56
2018-06-29,18158.32
2018-05-31,17901.75
2018-04-30,17772.37
2018-03-30,17873.68
2018-02-28,17722.86
2018-01-31,18507.54
2017-12-29,18029.51
2017-11-30,18233.68
2017-10-31,17556.56
2017-09-29,17228.44
2017-08-31,17093.75
2017-07-31,16949.4
2017-06-30,16718.89
2017-05-31,16773
2017-04-28,16332.66
2017-03-31,16156.98
2017-02-28,16165.2
2017-01-31,15469.83
2016-12-30,15356.22
2016-11-30,14971.63
2016-10-31,14891.91
2016-09-30,15234.08
2016-08-31,15383.76
2016-07-29,15678.96
2016-06-30,15626.64
2016-05-31,14777.64
2016-04-29,14535.68
2016-03-31,14638.68
2016-02-29,13814.55
2016-01-29,13673.57
2015-12-31,13913.12
2015-11-30,13928.04
2015-10-30,13777.37
2015-09-30,12898.77
2015-08-31,12951.36
2015-07-31,13619.4
2015-06-30,13053.13
2015-05-29,13288.74
2015-04-30,13164.92
2015-03-31,13430.65
2015-02-27,13477.63
2015-01-30,13275.64
2014-12-31,13334.71
2014-11-28,13175
2014-10-31,12809.34
2014-09-30,12206.25
2014-08-29,12312.17
2014-07-31,11866.55
2014-06-30,12335.3
2014-05-30,12075.02
2014-04-30,11950.41
2014-03-31,11722.08
2014-02-28,11480.3
2014-01-31,11067.58
2013-12-31,11350.02
2013-11-29,11223.6
2013-10-31,11091.16
2013-09-30,10605.99
2013-08-30,10400.12
2013-07-31,10928.39
2013-06-28,10484.03
2013-05-31,10421.07
2013-04-30,10791.64
2013-03-29,10392.61
2013-02-28,9909.69
2013-01-31,9647.02
2012-12-31,9183.78
2012-11-30,9234.38
2012-10-31,9256.78
2012-09-28,9264.23
2012-08-31,9108.52
2012-07-31,9187.29
2012-06-29,8998.01
2012-05-31,8638.88
2012-04-30,8775.24
2012-03-30,8680.09
2012-02-29,8441.28
2012-01-31,8284.27
2011-12-30,8326.07
2011-11-30,8071.14
2011-10-31,7979.05
2011-09-30,7533.54
2011-08-31,7699.17
2011-07-29,7688.91
2011-06-30,7874.73
2011-05-31,7972.12
2011-04-29,7822.01
2011-03-31,7519.44
2011-02-28,7423.45
2011-01-31,7231.09
2010-12-31,7254.04
2010-11-30,6921.92
2010-10-29,7021.87
2010-09-30,6855.39
2010-08-31,6499.15
2010-07-30,6539.34
2010-06-30,6227.62
2010-05-31,6310.22
2010-04-30,6657.68
2010-03-31,6607.69
2010-02-26,6362.65
2010-01-29,6250.25
2009-12-31,6399.17
2009-11-30,6201.77
2009-10-30,5853.52
2009-09-30,5882.99
2009-08-31,5729.86
2009-07-31,5617.17
2009-06-30,5388.92
2009-05-29,5240.96
2009-04-30,5088.63
2009-03-31,4883.44
2009-02-27,4670.02
2009-01-30,5208.6
2008-12-31,5367.52
2008-11-28,5274.02
2008-10-31,5457.46
2008-09-30,6260.96
2008-08-29,6532.61
2008-07-31,6326.25
2008-06-30,6148.17
2008-05-30,6573.33
2008-04-30,6436.44
2008-03-31,6313.56
2008-02-29,6316.79
2008-01-31,6481.98
2007-12-31,6829.62
2007-11-30,6898.31
2007-10-31,7022.25
2007-09-28,7009.65
2007-08-31,6850.47
2007-07-31,6676.58
2007-06-29,7011.71
2007-05-31,7224.44
2007-04-30,7108.12
2007-03-30,6904.58
2007-02-28,6863.97
2007-01-31,6859.62
2006-12-29,6789.93
2006-11-30,6637.35
2006-10-31,6570.93
2006-09-29,6391.86
2006-08-31,6263.66
2006-07-31,6129.64
2006-06-30,5998.46
2006-05-31,5972.38
2006-04-28,6018.61
2006-03-31,5891.15
2006-02-28,5852.98
2006-01-31,5718.45
2005-12-30,5672.96
2005-11-30,5659.72
2005-10-31,5545.86
2005-09-30,5639.67
2005-08-31,5642.52
2005-07-29,5700
2005-06-30,5566.32
2005-05-31,5566.52
2005-04-29,5484.07
2005-03-31,5487.39
2005-02-28,5512.96
2005-01-31,5468.91
2004-12-31,5550.92
2004-11-30,5403.56
2004-10-29,5227.6
2004-09-30,5128.24
2004-08-31,5104.61
2004-07-30,4978.05
2004-06-30,5052.64
2004-05-31,4987.14
2004-04-30,4891.57
2004-03-31,4945.47
2004-02-27,4921.16
2004-01-30,4777.62
2003-12-31,4716.72
2003-11-28,4509.2
2003-10-31,4457.77
2003-09-30,4255.59
2003-08-29,4216.57
2003-07-31,4173.52
2003-06-30,4158.82
2003-05-30,4185.13
2003-04-30,3938.56
2003-03-31,3737.51
2003-02-28,3715.77
2003-01-31,3765.61
2002-12-31,3842.53
2002-11-29,3850.73
2002-10-31,3855.69
2002-09-30,3742.81
2002-08-30,4055.48
2002-07-31,4007.55
2002-06-28,4264.71
2002-05-31,4407.28
2002-04-30,4425.27
2002-03-29,4433.96
2002-02-28,4237.75
2002-01-31,4128.95
2001-12-31,4139.09
2001-11-30,3999.1
2001-10-31,3867.76
2001-09-28,3898.54
2001-08-31,4086.67
2001-07-31,4084.47
2001-06-29,4100.48
2001-05-31,4204.44
2001-04-30,4057.37
2001-03-30,3855.2
2001-02-28,3903.96
2001-01-31,3794.75
2000-12-29,3965.81
2000-11-30,3688.01
2000-10-31,3626.27
2000-09-29,3542.95
2000-08-31,3434.47
2000-07-31,3196.21
2000-06-30,3153.23
2000-05-31,3290.65
2000-04-28,3136.62
2000-03-31,2994.83
2000-02-29,2738.67
2000-01-31,3060.45
1999-12-31,3171.81
1999-11-30,3219.81
1999-10-29,3394.01
1999-09-30,3256.04
1999-08-31,3428.19
1999-07-30,3462.98
1999-06-30,3552.77
1999-05-31,3540.88
1999-04-30,3437.46
1999-03-31,3169.9
1999-02-26,3235.96
1999-01-29,3308.05
1998-12-31,3438.58
1998-11-30,3387.58
1998-10-30,3272.92
1998-09-30,3139.16
1998-08-31,2973.34
1998-07-31,3192.69
1998-06-30,3343.2
1998-05-29,3323.07
1998-04-30,3356.21
1998-03-31,3431.72
1998-02-27,3272.68
1998-01-30,3097.33
1997-12-31,3181.85
1997-11-28,3060.86
1997-10-31,2919.52
1997-09-30,2982.79
1997-08-29,2838.46
1997-07-31,2940.6
1997-06-30,2781.75
1997-05-30,2653.75
1997-04-30,2503.52
1997-03-31,2448.9
1997-02-28,2534.98
1997-01-31,2496.09
1996-12-31,2440.04
1996-11-29,2485.17
1996-10-31,2352.67
1996-09-30,2263.89
1996-08-30,2184.08
1996-07-31,2141.01
1996-06-28,2244.44
1996-05-31,2185.46
1996-04-30,2155.44
1996-03-29,2154.17
1996-02-29,2134.69
1996-01-31,2141.09
1995-12-29,2076.55
1995-11-30,2008.86
1995-10-31,1919.73
1995-09-29,1901.76
1995-08-31,1819.07
1995-07-31,1794.15
1995-06-30,1747.9
1995-05-31,1731.64
1995-04-28,1666.34
1995-03-31,1637.96
1995-02-28,1607.87
1995-01-31,1546.66
1994-12-30,1502.9
1994-11-30,1468.93
1994-10-31,1524.73
1994-09-30,1501.23
1994-08-31,1547.92
1994-07-29,1504.25
1994-06-30,1448.99
1994-05-31,1477.84
1994-04-29,1488.39
1994-03-31,1466.69
1994-02-28,1522.86
1994-01-31,1566.37
1993-12-31,1543.05
1993-11-30,1517.69
