Date,Last Price
2025-11-17,13086.06
2025-10-31,13596.67
2025-09-30,13156.17
2025-08-29,12494.45
2025-07-31,12391.94
2025-06-30,11981.53
2025-05-30,11267.56
2025-04-30,10298.57
2025-03-31,10073.75
2025-02-28,10972.94
2025-01-31,11301.67
2024-12-31,11006.27
2024-11-29,10913.06
2024-10-31,10301.01
2024-09-30,10366.26
2024-08-30,10080.3
2024-07-31,9864
2024-06-28,9994.35
2024-05-31,9342.23
2024-04-30,8763.64
2024-03-29,9119.84
2024-02-29,8929.65
2024-01-31,8322.36
2023-12-29,8088.48
2023-11-30,7798.56
2023-10-31,7169.74
2023-09-29,7346.85
2023-08-31,7723.13
2023-07-31,7771.58
2023-06-30,7541.89
2023-05-31,7089.61
2023-04-28,6916.85
2023-03-31,6819.6
2023-02-28,6442.67
2023-01-31,6570.11
2022-12-30,6220.3
2022-11-30,6733.55
2022-10-31,6407.06
2022-09-30,6131.66
2022-08-31,6811.58
2022-07-29,7195.79
2022-06-30,6377.84
2022-05-31,6953.39
2022-04-29,7049
2022-03-31,8054.12
2022-02-28,7710.72
2022-01-31,8073.67
2021-12-31,8811.27
2021-11-30,8598.42
2021-10-29,8478.07
2021-09-30,7772.21
2021-08-31,8249.93
2021-07-30,7918.87
2021-06-30,7629.73
2021-05-31,7219.46
2021-04-30,7284.6
2021-03-31,6816.31
2021-02-26,6640.77
2021-01-29,6640.71
2020-12-31,6674.6
2020-11-30,6412.94
2020-10-30,5845.68
2020-09-30,6031.45
2020-08-31,6327.49
2020-07-31,5774.72
2020-06-30,5397.2
2020-05-29,5184.55
2020-04-30,4893.53
2020-03-31,4275.54
2020-02-28,4748.64
2020-01-31,5114.4
2019-12-31,5000.85
2019-11-29,4858.42
2019-10-31,4697.26
2019-09-30,4616.7
2019-08-30,4603.53
2019-07-31,4636.6
2019-06-28,4583.61
2019-05-31,4317.38
2019-04-30,4558.45
2019-03-29,4383.85
2019-02-28,4267.52
2019-01-31,4100
2018-12-31,3813.65
2018-11-30,4173.31
2018-10-31,4110.3
2018-09-28,4471.49
2018-08-31,4439.19
2018-07-31,4232.36
2018-06-29,4091.63
2018-05-31,4067.05
2018-04-30,3898.27
2018-03-30,3887.56
2018-02-28,4007.02
2018-01-31,4089.74
2017-12-29,3814
2017-11-30,3792.02
2017-10-31,3688.19
2017-09-29,3571.2
2017-08-31,3531.87
2017-07-31,3480.31
2017-06-30,3391.74
2017-05-31,3405.12
2017-04-28,3311.42
2017-03-31,3248.14
2017-02-28,3207.95
2017-01-31,3082.41
2016-12-30,2992.81
2016-11-30,2950.79
2016-10-31,2915.28
2016-09-30,2978.4
2016-08-31,2966.6
2016-07-29,2975.29
2016-06-30,2843.14
2016-05-31,2853.34
2016-04-29,2779.11
2016-03-31,2814.75
2016-02-29,2637.61
2016-01-29,2658.69
2015-12-31,2799.8
2015-11-30,2842.95
2015-10-30,2839.62
2015-09-30,2595.73
2015-08-31,2654.14
2015-07-31,2826.06
2015-06-30,2727.39
2015-05-29,2780.48
2015-04-30,2731.82
2015-03-31,2718.84
2015-02-27,2764.99
2015-01-30,2608.97
2014-12-31,2653.22
2014-11-28,2678.8
2014-10-31,2599.67
2014-09-30,2525.46
2014-08-29,2553.39
2014-07-31,2446.96
2014-06-30,2477.8
2014-05-30,2427.35
2014-04-30,2348.61
2014-03-31,2341.55
2014-02-28,2358.72
2014-01-31,2241.18
2013-12-31,2309.33
2013-11-29,2248.51
2013-10-31,2177.55
2013-09-30,2077.69
2013-08-30,2002.27
2013-07-31,2047.87
2013-06-28,1949.05
2013-05-31,1983.7
2013-04-30,1941.02
2013-03-29,1901.88
2013-02-28,1832.69
2013-01-31,1808.19
2012-12-31,1739.57
2012-11-30,1741.92
2012-10-31,1725.8
2012-09-28,1775.82
2012-08-31,1738.7
2012-07-31,1699.52
2012-06-29,1669.06
2012-05-31,1610.41
2012-04-30,1703.35
2012-03-30,1703.96
2012-02-29,1650.77
2012-01-31,1580.35
2011-12-30,1517.8
2011-11-30,1512.73
2011-10-31,1514.81
2011-09-30,1369.72
2011-08-31,1466.63
2011-07-29,1539.73
2011-06-30,1548.79
2011-05-31,1568.23
2011-04-29,1575.41
2011-03-31,1523.87
2011-02-28,1519.37
2011-01-31,1472.68
2010-12-31,1450.29
2010-11-30,1378.3
2010-10-29,1371.79
2010-09-30,1306.34
2010-08-31,1186.26
2010-07-30,1240.2
2010-06-30,1159.85
2010-05-31,1217.37
2010-04-30,1323.93
2010-03-31,1307.32
2010-02-26,1236.85
2010-01-29,1195.68
2009-12-31,1260.58
2009-11-30,1234.32
2009-10-30,1167.01
2009-09-30,1169.81
2009-08-31,1122.01
2009-07-31,1100.32
2009-06-30,1030.15
2009-05-29,1021.8
2009-04-30,973.74
2009-03-31,898.89
2009-02-27,833.57
2009-01-30,911.23
2008-12-31,958.09
2008-11-28,947.15
2008-10-31,1002.92
2008-09-30,1201.29
2008-08-29,1337.07
2008-07-31,1316.73
2008-06-30,1353.39
2008-05-30,1438.55
2008-04-30,1405.02
2008-03-31,1326.19
2008-02-29,1331.43
2008-01-31,1348.92
2007-12-31,1472.21
2007-11-30,1469.7
2007-10-31,1523.07
2007-09-28,1491.24
2007-08-31,1428.43
2007-07-31,1405.18
2007-06-29,1437.14
2007-05-31,1455.16
2007-04-30,1410.9
2007-03-30,1347.82
2007-02-28,1335.45
2007-01-31,1365.94
2006-12-29,1349.08
2006-11-30,1344.07
2006-10-31,1317.57
2006-09-29,1276.96
2006-08-31,1245.94
2006-07-31,1206.62
2006-06-30,1203.94
2006-05-31,1204.77
2006-04-28,1246.09
2006-03-31,1247.09
2006-02-28,1237.25
2006-01-31,1243.58
2005-12-30,1215.32
2005-11-30,1217.74
2005-10-31,1172.88
2005-09-30,1191.76
2005-08-31,1184.89
2005-07-29,1197.81
2005-06-30,1148.35
2005-05-31,1162.79
2005-04-29,1126.75
2005-03-31,1146.79
2005-02-28,1167.33
2005-01-31,1139.97
2004-12-31,1168.55
2004-11-30,1128.18
2004-10-29,1093.58
2004-09-30,1076.93
2004-08-31,1074.39
2004-07-30,1077.51
2004-06-30,1130.96
2004-05-31,1111.92
2004-04-30,1094.42
2004-03-31,1101.29
2004-02-27,1127.73
2004-01-30,1121.98
2003-12-31,1101.02
2003-11-28,1055.57
2003-10-31,1046.56
2003-09-30,1001.58
2003-08-29,1004.68
2003-07-31,987.52
2003-06-30,974.76
2003-05-30,957.33
2003-04-30,927.15
2003-03-31,868.97
2003-02-28,851.72
2003-01-31,854.26
2002-12-31,876.21
2002-11-29,937.13
2002-10-31,893.74
2002-09-30,818.08
2002-08-30,912.57
2002-07-31,906.88
2002-06-28,952.62
2002-05-31,1035.71
2002-04-30,1056.17
2002-03-29,1137.57
2002-02-28,1111.09
2002-01-31,1144.9
2001-12-31,1146.67
2001-11-30,1145.01
2001-10-31,1051.84
2001-09-28,1014.52
2001-08-31,1087.51
2001-07-31,1165.79
2001-06-29,1168.85
2001-05-31,1184.92
2001-04-30,1182.12
2001-03-30,1085.15
2001-02-28,1192.62
2001-01-31,1351.41
2000-12-29,1313.98
2000-11-30,1373.45
2000-10-31,1536.82
2000-09-29,1577.85
2000-08-31,1748.55
2000-07-31,1652.82
2000-06-30,1729.84
2000-05-31,1600.67
2000-04-28,1668.72
2000-03-31,1755.61
2000-02-29,1607
2000-01-31,1573.95
1999-12-31,1686.3
1999-11-30,1570.07
1999-10-29,1505.66
1999-09-30,1408.27
1999-08-31,1432.66
1999-07-30,1413.06
1999-06-30,1459.23
1999-05-31,1361.77
1999-04-30,1402.65
1999-03-31,1405.38
1999-02-26,1340.45
1999-01-29,1395.18
1998-12-31,1314.89
1998-11-30,1221.95
1998-10-30,1144.42
1998-09-30,1055.89
1998-08-31,989.67
1998-07-31,1137.69
1998-06-30,1138.34
1998-05-29,1062.62
1998-04-30,1084.37
1998-03-31,1075.36
1998-02-27,1022.47
1998-01-30,956.04
1997-12-31,924.96
1997-11-28,913.69
1997-10-31,866.66
1997-09-30,893.55
1997-08-29,850.21
1997-07-31,910.81
1997-06-30,843.99
1997-05-30,803.28
