Date,Last Price
2025-11-17,11755.97
2025-10-31,11838.22
2025-09-30,11706.32
2025-08-29,11503.83
2025-07-31,11121.01
2025-06-30,11023.29
2025-05-30,10631.49
2025-04-30,10320.454
2025-03-31,10702.58
2025-02-28,11028.53
2025-01-31,10981.84
2024-12-31,10672.944
2024-11-29,11451.28
2024-10-31,10825.95
2024-09-30,10965.41
2024-08-30,10844.24
2024-07-31,10532.42
2024-06-28,10055.27
2024-05-31,10121.44
2024-04-30,9829.08
2024-03-29,10270.56
2024-02-29,9823.63
2024-01-31,9533.3
2023-12-29,9505.06
2023-11-30,9006.89
2023-10-31,8220.27
2023-09-29,8364.56
2023-08-31,8771.84
2023-07-31,9018.79
2023-06-30,8721.37
2023-05-31,8160.2
2023-04-28,8318.7
2023-03-31,8178.5
2023-02-28,8073.01
2023-01-31,8320.67
2022-12-30,7776.4
2022-11-30,8092.96
2022-10-31,7633.12
2022-09-30,6845.77
2022-08-31,7479.39
2022-07-29,7698.1
2022-06-30,7268.69
2022-05-31,7920.84
2022-04-29,7793.26
2022-03-31,8191.59
2022-02-28,7955.73
2022-01-31,8071.77
2021-12-31,8204.76
2021-11-30,7664.86
2021-10-29,7922.88
2021-09-30,7574.98
2021-08-31,7832.74
2021-07-30,7700.16
2021-06-30,7639.77
2021-05-31,7730.38
2021-04-30,7548.1
2021-03-31,7276.41
2021-02-26,6847.83
2021-01-29,6465.25
2020-12-31,6569.14
2020-11-30,6347.01
2020-10-30,5622.89
2020-09-30,5737.62
2020-08-31,5878.53
2020-07-31,5675.33
2020-06-30,5475.16
2020-05-29,5527.85
2020-04-30,5356.99
2020-03-31,4838.942
2020-02-28,5709.935
2020-01-31,6310.019
2019-12-31,6481.048
2019-11-29,6285.087
2019-10-31,6051.749
2019-09-30,5895.528
2019-08-30,5683.021
2019-07-31,5834.007
2019-06-28,5733.021
2019-05-31,5304.293
2019-04-30,5738.917
2019-03-29,5511.568
2019-02-28,5453.596
2019-01-31,5333.714
2018-12-31,4912.526
2018-11-30,5426.845
2018-10-31,5287.598
2018-09-28,5585.038
2018-08-31,5563.984
2018-07-31,5489.47
2018-06-29,5275.712
2018-05-31,5242.585
2018-04-30,5229.04
2018-03-30,5202.8
2018-02-28,5311.278
2018-01-31,5619.399
2017-12-29,5395.587
2017-11-30,5306.844
2017-10-31,5132.808
2017-09-29,5074.406
2017-08-31,4913.352
2017-07-31,4971.173
2017-06-30,4903.896
2017-05-31,4812.501
2017-04-28,4827.905
