Date,Last Price
2025-11-17,5182.54
2025-10-31,5285.036
2025-09-30,5229.303
2025-08-29,5145.456
2025-07-31,5077.907
2025-06-30,5074.532
2025-05-30,4988.701
2025-04-30,4695.96
2025-03-31,4701.18
2025-02-28,4968.51
2025-01-31,4930.976
2024-12-31,4737.266
2024-11-29,4863.71
2024-10-31,4625.912
2024-09-30,4741.567
2024-08-30,4682.066
2024-07-31,4537.025
2024-06-28,4459.741
2024-05-31,4299.102
2024-04-30,4081.674
2024-03-29,4229.644
2024-02-29,4078.026
2024-01-31,3882.277
2023-12-29,3768.802
2023-11-30,3608.863
2023-10-31,3379.084
2023-09-29,3472.894
2023-08-31,3629.103
2023-07-31,3621.113
2023-06-30,3490.006
2023-05-31,3287.125
2023-04-28,3313.686
2023-03-31,3260.242
2023-02-28,3099.15
2023-01-31,3160.2
2022-12-30,3015.78
2022-11-30,3173.05
2022-10-31,2962.32
2022-09-30,2707.57
2022-08-31,2967.04
2022-07-29,3082.8
2022-06-30,2846.76
2022-05-31,3178.59
2022-04-29,3127.93
2022-03-31,3363.64
2022-02-28,3337.76
2022-01-31,3427.43
2021-12-31,3573.88
2021-11-30,3404.51
2021-10-29,3447.35
2021-09-30,3249.43
2021-08-31,3393.89
2021-07-30,3326.09
2021-06-30,3241.06
2021-05-31,3095.986
2021-04-30,3039.13
2021-03-31,2943.38
2021-02-26,2829.18
2021-01-29,2774.14
2020-12-31,2788.67
2020-11-30,2684.62
2020-10-30,2444.24
2020-09-30,2550.58
2020-08-31,2617.54
2020-07-31,2422.29
2020-06-30,2325.41
2020-05-29,2310.7
2020-04-30,2194.528
2020-03-31,1954.35
2020-02-28,2151.28
2020-01-31,2349.07
2019-12-31,2372.26
2019-11-29,2292.569
2019-10-31,2217.53
2019-09-30,2163.555
2019-08-30,2125.42
2019-07-31,2150.241
2019-06-28,2127.23
2019-05-31,1989.76
2019-04-30,2127.817
2019-03-29,2054.93
2019-02-28,1994.13
2019-01-31,1899.308
2018-12-31,1771.544
2018-11-30,1931.09
2018-10-31,1932.016
2018-09-28,2078.258
2018-08-31,2040.674
2018-07-31,1952.985
2018-06-29,1891.515
2018-05-31,1896.976
2018-04-30,1852.522
2018-03-30,1872.592
2018-02-28,1919.327
2018-01-31,1992.53
2017-12-29,1900.557
2017-11-30,1876.188
2017-10-31,1810.031
2017-09-29,1788.278
2017-08-31,1738.482
2017-07-31,1741.234
2017-06-30,1722.701
2017-05-31,1720.323
2017-04-28,1695.589
2017-03-31,1678.538
2017-02-28,1674.88
2017-01-31,1614.921
2016-12-30,1590.24
2016-11-30,1560.249
2016-10-31,1504.084
2016-09-30,1527.958
2016-08-31,1541.628
2016-07-29,1546.295
2016-06-30,1500.619
2016-05-31,1495.856
2016-04-29,1484.873
2016-03-31,1477.999
2016-02-29,1396.623
2016-01-29,1382.549
2015-12-31,1451.508
2015-11-30,1479.566
2015-10-30,1473.571
2015-09-30,1360.004
2015-08-31,1392.942
2015-07-31,1487.04
2015-06-30,1465.277
2015-05-29,1493.983
2015-04-30,1465.247
2015-03-31,1470.537
2015-02-27,1493.189
2015-01-30,1408.752
2014-12-31,1445.989
2014-11-28,1442.339
2014-10-31,1391.74
2014-09-30,1344.373
2014-08-29,1365.356
2014-07-31,1302.936
2014-06-30,1317.316
2014-05-30,1298.415
2014-04-30,1274.073
2014-03-31,1267.368
2014-02-28,1263.964
2014-01-31,1203.978
2013-12-31,1257.983
2013-11-29,1228.664
2013-10-31,1189.616
2013-09-30,1143.748
2013-08-30,1103.338
2013-07-31,1140.115
2013-06-28,1087.891
2013-05-31,1108.701
2013-04-30,1078.081
2013-03-29,1061.893
2013-02-28,1011.422
2013-01-31,993.539
2012-12-31,937.134
2012-11-30,929.091
2012-10-31,916.492
2012-09-28,933.571
2012-08-31,914.345
2012-07-31,897.295
2012-06-29,895.44
2012-05-31,862.358
