,regime_pred,regime_true,factor_pred,factor_true,realized_return,weights,bm_ff5_eqw,bm_sp500_vw,bm_sp500_ew,best_in_hindsight
2007-03-31,0,0,2,1,0.008528012873729045,"{'value': 0.21428839022822302, 'momentum': 0.18656367988206493, 'quality': 0.26519428106495435, 'low_vol': 0.1994957982140099, 'growth': 0.13445785061074775}",0.00897694233472612,0.0109995767106245,0.0076848273092369,0.0141645120762166
2007-04-30,0,0,3,4,0.03391625135386127,"{'value': 0.20866669193774479, 'momentum': 0.3102729891853233, 'quality': 0.03577752262954267, 'low_vol': 0.3210484541882387, 'growth': 0.12423434205915049}",0.0298460713376901,0.043961311012106,0.0432073032128514,0.0468015016842011
2007-05-31,0,0,0,0,0.028893818115834642,"{'value': 0.31768993017092134, 'momentum': 0.3101909512523603, 'quality': 0.0279314107194193, 'low_vol': 0.130167607061338, 'growth': 0.2140201007959611}",0.02336256644888212,0.0343926214320505,0.0323997074148296,0.0381867516367528
2007-06-30,0,0,1,2,-0.021504218747413307,"{'value': 0.21724386684493047, 'momentum': 0.4133006906570608, 'quality': 0.034592501413042785, 'low_vol': 0.10234265722751097, 'growth': 0.23252028385745507}",-0.01572450488648868,-0.0166580889377091,-0.0185357775551102,0.011707145518645
2007-07-31,0,1,1,2,-0.021658955596586885,"{'value': 0.18852985974217254, 'momentum': 0.2600785798932566, 'quality': 0.2535001311188379, 'low_vol': 0.16588711026357242, 'growth': 0.13200431898216056}",-0.024353723155918678,-0.0306582017073119,-0.0438895838383838,0.0230445867626436
2007-08-31,1,1,2,3,0.013911026901650176,"{'value': 0.012593061108067365, 'momentum': 0.0486135832520623, 'quality': 0.8641185218727919, 'low_vol': 0.05132393730663423, 'growth': 0.023350896460444262}",0.0179700052730253,0.0149919407038952,0.0005351162324649,0.0260447714248912
2007-09-30,1,1,3,1,0.018370045788224282,"{'value': 0.04911206620232478, 'momentum': 0.11280402045028964, 'quality': 0.31362986474009946, 'low_vol': 0.4630133309675179, 'growth': 0.06144071763976819}",0.028220127872848562,0.0375354521749677,0.0245281445783132,0.0500558564218351
2007-10-31,1,0,3,1,0.005762719862716547,"{'value': 0.041080449131179184, 'momentum': 0.07285860748546548, 'quality': 0.10604929744320951, 'low_vol': 0.7251958433823141, 'growth': 0.054815802557831715}",0.014535280700319281,0.0168699401954111,0.0122859878296146,0.0386143980782769
2007-11-30,1,1,3,2,-0.020069731806534246,"{'value': 0.04043204909337384, 'momentum': 0.32003722231744647, 'quality': 0.2001815092434312, 'low_vol': 0.39361545964077543, 'growth': 0.045733759704973106}",-0.02346858472160574,-0.0414527482814361,-0.0498669337349397,0.0368034060357426
2007-12-31,1,1,2,2,0.0067476470116380124,"{'value': 0.029026091178749883, 'momentum': 0.197129055446633, 'quality': 0.41448715809085795, 'low_vol': 0.32712649248818, 'growth': 0.032231202795579124}",0.0016434643926609798,-0.0063051650754231,-0.0175142991967871,0.0186480320890597
2008-01-31,1,1,2,2,-0.039013123146292364,"{'value': 0.036391045132657174, 'momentum': 0.22014012104299566, 'quality': 0.5773792699470713, 'low_vol': 0.13074583141412008, 'growth': 0.03534373246315573}",-0.05627943791331271,-0.0610304346903059,-0.0445245763052208,-0.0097966520185392
2008-02-29,1,1,2,2,0.016390016910690232,"{'value': 0.012472342814396126, 'momentum': 0.060103941760596635, 'quality': 0.8768878595325351, 'low_vol': 0.03615440916226994, 'growth': 0.014381446730202235}",-0.01699194338242694,-0.0314194315227852,-0.029500736,0.0218057003194732
2008-03-31,1,1,2,1,0.019578639371126246,"{'value': 0.01075090821957345, 'momentum': 0.04122045807129982, 'quality': 0.9066320149396784, 'low_vol': 0.025217308237490653, 'growth': 0.01617931053195757}",0.007411854883943201,-0.0034918057528318,-0.0132287414829659,0.0256029826734252
2008-04-30,1,1,2,1,-0.004511319861072423,"{'value': 0.015859977977018644, 'momentum': 0.06244839339970601, 'quality': 0.8529782744173718, 'low_vol': 0.042364381273916056, 'growth': 0.026348972931987433}",0.034801025800438055,0.0486294834170621,0.052409392,0.0718264234190941
2008-05-31,1,0,1,1,0.03319229982971505,"{'value': 0.04706950535905152, 'momentum': 0.6872266827100658, 'quality': 0.07720820402856277, 'low_vol': 0.11858023386663624, 'growth': 0.06991537403568364}",0.0197870098521472,0.0129862246603118,0.025676762,0.040790488491595
2008-06-30,1,1,1,2,-0.019071130232304258,"{'value': 0.04625053990655665, 'momentum': 0.4577318902663818, 'quality': 0.3617952705533101, 'low_vol': 0.08738861668382941, 'growth': 0.0468336825899221}",-0.048207970974753975,-0.0833133303210716,-0.1008990240480962,0.0329514384536834
2008-07-31,1,1,2,3,-0.0006634596214380384,"{'value': 0.008607957744430178, 'momentum': 0.08360360821596875, 'quality': 0.8788026054663443, 'low_vol': 0.018384366625810385, 'growth': 0.010601461947446347}",-0.01025751355509714,-0.0072839035278875,-0.0037195352112676,0.0289647163302251
2008-08-31,1,1,2,3,0.015394399370969987,"{'value': 0.03399202330763993, 'momentum': 0.3970638294216621, 'quality': 0.40674587183887073, 'low_vol': 0.09900618572080216, 'growth': 0.06319208971102508}",0.017576456984695617,0.0149874132007097,0.0285609298597194,0.0326196403872751
2008-09-30,1,1,1,2,-0.07231840521978189,"{'value': 0.053773126451806354, 'momentum': 0.5073657045745019, 'quality': 0.1683667784557673, 'low_vol': 0.2054025057590969, 'growth': 0.0650918847588275}",-0.060128503601875015,-0.0858676731801783,-0.1055893038229376,0.033022845856811
2008-10-31,1,1,2,2,-0.022987872565126553,"{'value': 0.024266501559043818, 'momentum': 0.17999453971324184, 'quality': 0.5121344853535401, 'low_vol': 0.2657036106811634, 'growth': 0.017900862693010958}",-0.1040395699939142,-0.1671622371713029,-0.2094663654618473,0.0850159178322716
2008-11-30,1,1,2,2,0.0489997159387106,"{'value': 0.015951004093773067, 'momentum': 0.12317525386686573, 'quality': 0.7705566243164429, 'low_vol': 0.06702223842351397, 'growth': 0.023294879299404207}",-0.03293560202525651,-0.0737083337051494,-0.10725830583501,0.0806673379106094
2008-12-31,1,1,2,3,0.000496091335184661,"{'value': 0.014701483728979378, 'momentum': 0.13150413145979534, 'quality': 0.7909633221116016, 'low_vol': 0.04401263106791817, 'growth': 0.01881843163170561}",0.00852177544637794,0.0111188924494303,0.0431150040160642,0.0177284121031016
2009-01-31,1,1,1,2,-0.012785909025949761,"{'value': 0.02971448904344343, 'momentum': 0.39543595559748934, 'quality': 0.3553084628230577, 'low_vol': 0.17933625901125597, 'growth': 0.04020483352475366}",-0.04032528951931128,-0.0824036710264355,-0.0780269616935483,0.0322431909149021
2009-02-28,1,1,2,2,0.03482733148485063,"{'value': 0.00955250355540932, 'momentum': 0.03986261138089213, 'quality': 0.88330378612943, 'low_vol': 0.05475657435640671, 'growth': 0.012524524577862036}",-0.07000418964840123,-0.1036718394985826,-0.117064018,0.0521995232027574
2009-03-31,1,1,2,0,-0.023832805379760506,"{'value': 0.00821345486021559, 'momentum': 0.027067705154553607, 'quality': 0.9274672034661672, 'low_vol': 0.030375114647978464, 'growth': 0.006876521871084879}",0.051238415719197905,0.087701507106958,0.110596456,0.0987130024851408
2009-04-30,1,1,3,0,0.017760982275099927,"{'value': 0.06654518938842272, 'momentum': 0.2142709270130364, 'quality': 0.21983175719426187, 'low_vol': 0.4117836776763096, 'growth': 0.08756844872796946}",0.03426357495484994,0.094228948201996,0.1850361803607214,0.1103968583799934
2009-05-31,1,0,0,0,0.04795682012138292,"{'value': 0.647402654773432, 'momentum': 0.11276971143238537, 'quality': 0.0654183066478532, 'low_vol': 0.10805042512842375, 'growth': 0.06635890201790583}",0.02417165923863228,0.0546402250756513,0.062486648,0.0636056208736288
2009-06-30,1,0,0,2,0.007501212749011809,"{'value': 0.5371272744929663, 'momentum': 0.12919586097592647, 'quality': 0.0893215729054267, 'low_vol': 0.18994140679236068, 'growth': 0.054413884833319964}",0.015040478874844863,0.002809898187379,-0.0040832144288577,0.0321483995383863
2009-07-31,1,1,0,0,0.050673199720849126,"{'value': 0.49294572053432784, 'momentum': 0.141598925060473, 'quality': 0.16447570184485305, 'low_vol': 0.16363838065732536, 'growth': 0.03734127190302077}",0.03993192461281672,0.0743769613531867,0.0925405742971887,0.0842124882613402
2009-08-31,1,0,0,0,0.03826112205252472,"{'value': 0.6860181264689661, 'momentum': 0.09194112428440238, 'quality': 0.04503799721167281, 'low_vol': 0.13532620709999443, 'growth': 0.04167654493496437}",0.0065830741962984,0.0347613307015833,0.057829354,0.0544838241160512
2009-09-30,1,0,0,4,0.027156861820101925,"{'value': 0.7067865851465227, 'momentum': 0.09259355081137371, 'quality': 0.05374328336453681, 'low_vol': 0.09859172701444979, 'growth': 0.048284853663117036}",0.018339642986530198,0.0365669329436698,0.0526381042084168,0.0426021158456697
2009-10-31,1,0,0,2,-0.026103240542743537,"{'value': 0.7433805316374449, 'momentum': 0.08886126663701778, 'quality': 0.04920348495646045, 'low_vol': 0.07702392850075675, 'growth': 0.04153078826832024}",-0.0006693440562946597,-0.0180095219414311,-0.0341117775551102,0.0570680542572241
2009-11-30,1,0,2,0,0.012290163336002255,"{'value': 0.13072809883369355, 'momentum': 0.04012688052153507, 'quality': 0.7778102197366596, 'low_vol': 0.034779802461380335, 'growth': 0.016554998446731563}",0.04728329091476952,0.0600391036224524,0.0538961563126252,0.0625991990497913
2009-12-31,1,0,0,1,0.020137794236349437,"{'value': 0.7579548735036639, 'momentum': 0.08916312951423962, 'quality': 0.03505499995198203, 'low_vol': 0.07521751019394149, 'growth': 0.04260948683617312}",0.021389612145959823,0.0187410384577261,0.0480087755511022,0.0405866065148932
2010-01-31,0,1,0,2,-0.0264765078699601,"{'value': 0.4317053029760859, 'momentum': 0.09439017432789931, 'quality': 0.15913575469403995, 'low_vol': 0.11778898980631305, 'growth': 0.19697977819566176}",-0.0286102178915087,-0.0357849012008176,-0.031059386773547,-0.00529022810896
2010-02-28,1,1,2,1,-0.0029962553597219378,"{'value': 0.01988427159754751, 'momentum': 0.03645237087635487, 'quality': 0.903089242158337, 'low_vol': 0.02824813836052798, 'growth': 0.01232597700723272}",0.024543070740174883,0.030326082483601,0.0434021951710261,0.0497122990944338
2010-03-31,0,0,0,1,0.054967343820610054,"{'value': 0.4719927664418574, 'momentum': 0.19471285688725387, 'quality': 0.06836597776248025, 'low_vol': 0.0758244730435797, 'growth': 0.18910392586482877}",0.039472639586834245,0.0610540473629365,0.0709863246492986,0.0681296171723968
2010-04-30,1,0,0,1,0.01629959907269254,"{'value': 0.4557583893401853, 'momentum': 0.35985721519224806, 'quality': 0.04440147532965869, 'low_vol': 0.08262466053981883, 'growth': 0.057358259598089226}",0.00527756511954378,0.0159883664108768,0.0281088336673346,0.0219800171346544
2010-05-31,0,1,1,2,-0.06949533784163635,"{'value': 0.27006089094806585, 'momentum': 0.4514882957551529, 'quality': 0.08684432976268348, 'low_vol': 0.06817201702946714, 'growth': 0.12343446650463054}",-0.053757172219446,-0.0801110060906416,-0.0734857959999999,0.0244759126391822
2010-06-30,1,1,2,2,0.020044934022170963,"{'value': 0.01005101610156763, 'momentum': 0.039778042937104456, 'quality': 0.9222977859928565, 'low_vol': 0.02018465717243279, 'growth': 0.007688497796038607}",-0.03304185183433956,-0.0535103068934827,-0.0617943046092184,0.026219520801899
2010-07-31,1,1,2,1,-0.013828728255390766,"{'value': 0.00947542109521399, 'momentum': 0.031113640633772664, 'quality': 0.9333604993614443, 'low_vol': 0.017899821821611917, 'growth': 0.00815061708795734}",0.05040888896612078,0.0704288893917181,0.0735282104208416,0.0817032909674557
2010-08-31,0,1,1,2,-0.04871360388520618,"{'value': 0.4082577288713448, 'momentum': 0.42431076161798675, 'quality': 0.028196421074898014, 'low_vol': 0.04200183239524971, 'growth': 0.09723325604052072}",-0.02891732860651322,-0.04545307101752,-0.048286472,0.0118391837650442
2010-09-30,1,0,2,1,0.010129414172221303,"{'value': 0.01233669059685365, 'momentum': 0.08258454324040253, 'quality': 0.8729491389712976, 'low_vol': 0.021228777690367965, 'growth': 0.010900849501078322}",0.06895675828046748,0.0903830622820089,0.1043073519999999,0.1142279618192025
2010-10-31,0,0,1,4,0.03747604003711631,"{'value': 0.3642851656039356, 'momentum': 0.44671997077916553, 'quality': 0.029948870149332528, 'low_vol': 0.03563143754184429, 'growth': 0.12341455592572213}",0.02977568593087756,0.0387260444582807,0.0359456619999999,0.0501018111670774
2010-11-30,0,0,1,1,0.011988283284645096,"{'value': 0.07621150858962791, 'momentum': 0.781364322376003, 'quality': 0.02944979188664872, 'low_vol': 0.028228189423099237, 'growth': 0.08474618772462134}",-0.0008160551049942805,-7.464357143807367e-05,0.0082052739999999,0.0160194521919474
2010-12-31,0,0,1,0,0.04143899107459681,"{'value': 0.09240764858807655, 'momentum': 0.46714813519052173, 'quality': 0.09853337188547706, 'low_vol': 0.08917153240860298, 'growth': 0.25273931192732146}",0.03625345880961478,0.0673379346219667,0.073083616,0.0822326150179046
2011-01-31,0,0,1,0,0.01925025558661421,"{'value': 0.30180011696211184, 'momentum': 0.4803183588548977, 'quality': 0.0386912634075466, 'low_vol': 0.03769736231296644, 'growth': 0.1414928984624774}",0.010578928052019442,0.0233854098527734,0.0220132794411177,0.0323353242843238
2011-02-28,0,0,1,1,0.03343536972358419,"{'value': 0.17985416878798394, 'momentum': 0.549454585585511, 'quality': 0.08050854758624142, 'low_vol': 0.06523924854074627, 'growth': 0.1249434494995175}",0.024328811355390844,0.0324440209957137,0.0409569158316633,0.0404639609081312
2011-03-31,0,1,0,1,0.003802833692703678,"{'value': 0.5375059933919847, 'momentum': 0.2071663914167645, 'quality': 0.04712334887238638, 'low_vol': 0.044313892905981526, 'growth': 0.16389037341288284}",0.00844536948765184,0.0006194855661436,0.009006742,0.0161556788767747
2011-04-30,0,0,1,3,0.025496218759683588,"{'value': 0.18382480404424373, 'momentum': 0.5516330692164277, 'quality': 0.09193573911648291, 'low_vol': 0.0646438851621512, 'growth': 0.10796250246069444}",0.02744806563594534,0.0296223268646826,0.0319234104627766,0.040238368814699
2011-05-31,0,0,1,2,-0.010885105675849056,"{'value': 0.26411070938965703, 'momentum': 0.34981108173882525, 'quality': 0.050470465828257635, 'low_vol': 0.059888696679856634, 'growth': 0.2757190463634035}",0.0007265141262623195,-0.0113126638368008,-0.00557884,0.028387307079315
2011-06-30,1,1,1,2,-0.0002750282236874729,"{'value': 0.06292990840250504, 'momentum': 0.6323792342257826, 'quality': 0.2095181079990034, 'low_vol': 0.06757694317608982, 'growth': 0.027595806196619235}",-0.0047882483337772005,-0.0164560774641754,-0.0187692590361445,0.0273638821640236
2011-07-31,1,0,1,2,-0.010524762037145965,"{'value': 0.03458916148282883, 'momentum': 0.5991043943459393, 'quality': 0.2961819438944836, 'low_vol': 0.037631904615687634, 'growth': 0.032492595661060525}",-0.015080700154486898,-0.019916611159378,-0.0355481164658634,0.0067269633933145
2011-08-31,1,1,2,2,0.049676938208987734,"{'value': 0.007711043575209018, 'momentum': 0.06339405731351187, 'quality': 0.9058163000156482, 'low_vol': 0.013619117975770742, 'growth': 0.00945948111986024}",-0.02279421757765544,-0.0543227414517865,-0.063472002,0.0605014671965593
2011-09-30,1,1,2,2,0.04951505087554439,"{'value': 0.01018751240250247, 'momentum': 0.07628481017536612, 'quality': 0.8740596141649951, 'low_vol': 0.02725289606785621, 'growth': 0.01221516718928024}",-0.03506881312581096,-0.0698217497475001,-0.0902517394789579,0.065996745040571
2011-10-31,1,1,2,0,-0.035457956070493526,"{'value': 0.006411798125280114, 'momentum': 0.023923661218759416, 'quality': 0.9485555860697172, 'low_vol': 0.015523366655403284, 'growth': 0.005585587930839959}",0.06808313566205716,0.1089565848055987,0.134449872,0.1131301179970842
2011-11-30,1,1,1,2,0.0008114458667948085,"{'value': 0.09531195878286212, 'momentum': 0.7567392771292372, 'quality': 0.04633801979417215, 'low_vol': 0.057373501475183254, 'growth': 0.04423724281854531}",0.0070703797137812,-0.0026999833460743,-0.006364788,0.0294634564339489
2011-12-31,1,1,2,3,0.00733959771149869,"{'value': 0.019286437082777785, 'momentum': 0.1238587505007582, 'quality': 0.8054730925168571, 'low_vol': 0.03693239235836524, 'growth': 0.01444932754124169}",0.012248133370553898,0.0094517536713606,0.0011844629258517,0.0315853770347187
2012-01-31,1,0,1,0,0.027460858038655903,"{'value': 0.07242639191717784, 'momentum': 0.6359662674295692, 'quality': 0.13929012067464375, 'low_vol': 0.1085290015461852, 'growth': 0.043788218432423975}",0.01858456795704504,0.0452476872088895,0.0566976593186372,0.0491056274440584
2012-02-29,0,0,0,1,0.03831635516086588,"{'value': 0.3712806130646431, 'momentum': 0.2925765177950113, 'quality': 0.11840434485980339, 'low_vol': 0.06670050132450055, 'growth': 0.15103802295604174}",0.03012028383924236,0.0433405278289872,0.04196541,0.0543727708952184
2012-03-31,0,0,0,1,0.032604731054641706,"{'value': 0.31052523453131703, 'momentum': 0.20768460959043336, 'quality': 0.09564399722719644, 'low_vol': 0.08120306361455619, 'growth': 0.30494309503649697}",0.02895773564158478,0.0328695548052793,0.0231181823647294,0.0462098369923678
2012-04-30,0,0,1,1,0.0033710647850325607,"{'value': 0.2224356582200092, 'momentum': 0.38908943515408134, 'quality': 0.09618044998406766, 'low_vol': 0.08165914018810287, 'growth': 0.21063531645373895}",0.00293057255360358,-0.0060314660078484,-0.0077994248496993,0.0131085678518114
